The Brooklyn Hospital Center,,,
Charge Master Pricing,,,
,,,
The charges listed are generally not the amount a patient will pay.,,,
,,,
Charge No,Charge Description, Standard Charges ,Comment
53401202,BANANA IGE, 23.85 ,
53401203,CLOMIPRAMINE, 172.63 ,
53401204,ETHYLENE GLYCOL, 121.51 ,
53401206,GRAPE IGE, 23.85 ,
53401207,C-REACTIVE PROTEIN HS, 92.87 ,
53401208,LEMON IGE, 23.85 ,
53401210,PANCREATIC ELASTASE FECAL, 124.12 ,
53401211,STREPTOMYCIN, 114.63 ,
53401212,TBII, 80.74 ,
53401213,"ANTIBODY, TOXOPLASMA, IGM", 67.17 ,
53401214,"ANTIBODY, TOXOPLASMA", 68.82 ,
53401215,PROMETHEUS TPMT ENZYME, 194.22 ,
53401217,BL SMEAR W/DIFF WBC COUNT, 41.16 ,
53401218,AB; BRUCELLA, 86.25 ,
53401220,QUAN URINE PORPHYRINS, 87.79 ,
53401223,CHEMILUMINESCENT ASSAY, 164.04 ,
53401224,PAPPA SERUM, 64.80 ,
53401225,C DIFF AMPLIFIED PROBE, 83.88 ,
53401226,HIV-1 AG W.HIV-1 & HIV-2 AB, 115.15 ,
53401236,CHOLESTEROL, 91.12 ,
53401238,GLUCOSE, 90.48 ,
53401240,ASSAY ALKALINE PHOSPHATASE, 101.22 ,
53401244,ALT (SGPT), 153.38 ,
53401246,GLUCOSE POC, 90.48 ,
53401247,PROSTATE SPECIFIC ANTIGEN FREE, 76.04 ,
53401251,CATECHOLAMINES; BLOOD, 165.94 ,
53401252,TROFILE(R), 165.94 ,
53401253,HLA I TYPING 1 ALLELE HR, 165.94 ,
53401254,PHENOTYPE DNA HIV W/CLTR 1-10, 165.94 ,
53401255,PHENOTYPE INFECT AGENT DRUG, 165.94 ,
53401256,GENOTYPE DNA HIV REVERSE T, 165.94 ,
53401257,PHENOTYPE DNA HIV W/CLT EA ADD, 165.94 ,
53401258,GENOTYPE DNA HIV OTHER REGION, 165.94 ,
53401259,MTHFR GENE, 180.44 ,
53401263,HEXAGNAL PHOSPH PLTLT NEUTRL, 72.94 ,
53401264,DNA/RNA; MULTI ORG - AMP PR, 290.16 ,
53401265,BC - AEROBIC - ADDTL ID, 33.42 ,
53401267,MICROSPORIDIA DFA, 49.57 ,
53401268,IMMUNO STAIN EACH ADD PER SPEC, 72.75 ,
53401269,PORPHOBILINOGEN URINE; QUAN, 34.88 ,
53401272,TISSUE CLTRE NEOPLAST BLD/MARR, 106.32 ,
53401273,CULTURE BACTERIAL BLOOD AEROB, 36.14 ,
53401276,HFE GENE, 270.22 ,
53401277,CULT MYCOBACTERIA DEFIN ID EA, 45.26 ,
53401278,OPIATES 1 OR MORE, 53.68 ,
53401279,DRUG SCREENING FENTANYL, 53.68 ,
53401282,INFECTIOUS AGENT NOC, 36.14 ,
53401283,HERPES SIMPLEX VIRUS PROBE, 58.04 ,
53401284,MOLECULAR PROCEDURE LEVEL 2, 273.03 ,
53401285,FRAGILE X GENE ANALYSIS, 270.22 ,
53401286,CHARAGTERISAION OF ALLELES, 270.22 ,
53401287,VIRUS INOCULATE TISSUE ADDL, 83.51 ,
53401288,FTL CGEN ABNOR FOUR ANAL, 273.03 ,
53401289,FTL CGEN ABNOR TWO PROTEINS, 273.03 ,
53401290,MOLECULAR PROCEDURE LEVEL 1, 273.03 ,
53401291,ACETYLCHOLINESTERASE QUANT, 69.64 ,
53401292,WESTERN BLOT ID W INTERP, 74.40 ,
53401293,CANDIDA NA DIRECT PROBE, 79.04 ,
53401294,GARDNERELLA DIR NA PROBE, 79.04 ,
53401295,TRICHOMONAS VAGIN DIR PROBE, 79.04 ,
53401296,COAG ANF FIBRINOLYSIS  ADAMTS-, 79.04 ,
53401300,COL CHROMOTOGRAPHY QUAN, 71.18 ,
53401302,FETAL CHRMOML ANEUPLOIDY," 1,411.50 ",
53401303,SODIUM OTHER SOURCE, 19.76 ,
53401305,CFTR GENE COM VARIANTS, 720.37 ,
53401306,IMMEDIATE CYTO STUDY EACH ADDL, 247.89 ,
53401307,LAMELLAR BODY DENSITY, 71.48 ,
53401308,GLUCOSE BLOOD TEST, 82.08 ,
53801201,FTA CONFIRMATORY TESTING, 125.62 ,
53900005,FACTOR V111, 529.14 ,
53900123,ANTITHROMBIN III (ACT), 329.38 ,
53900148,ALPHA ANTITRYPSIN, 195.93 ,
53900154,PROTIEN S ACTIVITY, 235.33 ,
53900170,CARDIOLIPID ANTIBODY, 204.78 ,
53900233,ESTABLISH ACCESS TO VEIN, 334.15 ,
53900248,TRANS BLOOD OR BL COMPONENTS," 1,093.32 ",
53900253,TISSUE CULTURE LYMPHOCYTE, 774.89 ,
53900254,CHROM ANALY 15-20 CELLS, 829.03 ,
53900255,ACTIVATED CLOTTING TIME, 16.09 ,
04031003,SYPHILIS SCREEN, 107.51 ,
04031005,VARICELLA-ZOSTER I.G.G., 198.68 ,
04031008,ASLO STREPTOCCAL AB  SCREEN, 136.17 ,
04031009,RHEUMATOID FACTOR QUAL, 121.83 ,
04031010,TOXOPLASMA AB, 179.17 ,
04031011,HETEROPHILE ANTIBODIES   MONO, 168.71 ,
04031025,CSF VDRL, 107.51 ,
04031026,CSF CRYTOCOCC AG SCREEN, 204.99 ,
04031027,MYCOPLASMA SEROLOGY, 124.97 ,
04031031,ANTI DNA ANTIBODIES, 232.93 ,
04031032,ANTINUCLEAR ANTIBODIES, 279.52 ,
04031035,TREPONEMA PALLIDUM, 127.45 ,
04031046,CSF CRYTOCOCC AG TITER, 42.70 ,
04031048,ENA-EXTR'ABLE NUCL.ANTIGE, 285.16 ,
04031051,HIV ANTIBODY SCREEN 1, 121.70 ,
04031052,CHLAMYDIA CULTURE, 279.52 ,
04031053,EPSTEIN-BARR VIRUS EARLY AG, 266.76 ,
04031056,CMV CULTURE, 396.01 ,
04031058,LEGIONELLA ANTIBODY, 48.05 ,
04031062,MYCOPLASMA HOMINIS CULTUR, 41.33 ,
04031064,RUBEOLA (MEASLES) AB, 207.84 ,
04031065,AB; LYME'S DISEASE, 190.26 ,
04031066,AMOEBIC ANTIBODY, 220.89 ,
04031069,NEUTROPHIL CYTOPLASMIC, 488.79 ,
04031070,ASPERGILLIS AB, 45.62 ,
04031075,CMV IGG AB, 250.85 ,
04031076,CMV IGM AB, 157.44 ,
04031077,CMV IGG+IGM AB, 157.44 ,
04031078,"COCCIDIOIDES AB, SER", 18.26 ,
04031080,COXSACKIE A VIRUS AB, 18.26 ,
04031081,COXSACKIE B VIRUS (B1-6), 18.26 ,
04031083,CAT SCRATCH DISEASE PANEL, 30.44 ,
04031084,CSF HISTOPLASMA, 58.73 ,
04031085,ECHOVIRUS AB, 18.26 ,
04031086,HISTOPLASMA SERUM, 58.73 ,
04031088,HERPES SIMPLEX CULTURE, 359.20 ,
04031089,HTLV-1 AB (EIA), 43.91 ,
04031091,INFLUENZA TYPE B AB, 42.58 ,
04031093,"LEGIONELLA AG, URINE", 200.72 ,
04031096,PARVOVIRUS AB, 279.34 ,
04031097,HERPES SIMPLEX (1+2) PCR, 247.96 ,
04031100,PARVOVIRUS PCR, 220.39 ,
04031101,POLIO VIRUS AB, 48.15 ,
04031102,RHEUMATOID FACTOR QUANT., 88.15 ,
04031103,RICKETTSIAL AB, 293.28 ,
04031104,ROCKY MT SPOT FEVVER IGM, 266.01 ,
04031105,SYPHILIS TITER, 55.91 ,
04031106,RESP. SYNCT VIRUS AG, 45.79 ,
04031107,RUBELLA IGG AB, 163.20 ,
04031108,SERUM CRYPTO AG TITER, 42.70 ,
04031111,TORCH IGM, 480.18 ,
04031112,TOXOCARA CANIS SEROL, 101.07 ,
04031113,TOXOPLASMA IGG, 162.51 ,
04031114,TOXOPLASMA IGM, 114.46 ,
04031116,VARICELLA ZOSTER AB, 219.02 ,
04031248,ROTA VIRUS ANTIGEN, 147.65 ,
04031250,HERPES SIMPLEX DF ANTIGEN, 24.90 ,
04031254,HIV SCREEN 2, 143.34 ,
04031257,"LYME DISEASE IGG, IGM, WB", 228.36 ,
04031259,"CSF, CMV, IGM, ANTIBODY", 157.44 ,
04031261,PHOSPHATIDYLSERINE AB, 130.89 ,
04031262,VARICELLA ZOSTER IGM, 198.68 ,
04032002,"CULTURE,BACT,DEFIN;ANY OTHER", 234.94 ,
04032003,"CULTURE,BACT;DEFIN ANY OTHER", 193.71 ,
04032004,FUNGUS CULTURE SKN HAIR NAIL, 174.89 ,
04032005,OVA & PARASITES, 120.82 ,
04032006,ACID FAST SMEAR, 80.44 ,
04032007,ACID FAST CULTURE, 338.28 ,
04032010,GC RNA, 265.18 ,
04032017,LATEX/CIE, 209.29 ,
04032026,GRAM STAIN, 122.94 ,
04032035,GU/GCSC SPLIT WITH GRAM STAIN, 133.33 ,
04032036,H-PYLORI AB QUALITATIVE, 226.49 ,
04032037,B.PERTUSSIS CULTURE, 133.33 ,
04032041,GIARDIA LAMBLIA AG, 126.23 ,
04032042,LEGIONELLA CULTURE, 133.33 ,
04032043,LEGIONELLA DIRECT AG, 182.07 ,
04032044,MYCOPLASMA CULTURE, 45.57 ,
04032045,UREAPLASMA CULTURE, 45.57 ,
04032046,VARICELLA ZOSTER CULTURE, 118.78 ,
04032047,SURGICAL GROSS EXAM ONLY, 83.74 ,
04032057,DIPTHERIA AB TITIER ENDT, 107.51 ,
04032058,LEISHMANIA AB IFA, 286.69 ,
04032059,MIC SENSITIVITY, 179.17 ,
04032061,KIRBY BAUER SENSITIVITY, 179.17 ,
04032062,AB ; HEMOPHILUS INFLUENZA, 119.87 ,
04032065,CULTURE; OTHER METHODS, 35.04 ,
04032066,AB; ENCEPHALITIS ST. LOUIS, 38.95 ,
04032067,NA QUAN NOS AGENT, 382.75 ,
04032068,AEROBIC STOOL CULT ADDL PA EA, 42.15 ,
04032070,FUNGUS CULTURE DEF I.D YEAST, 80.70 ,
04032072,HERPES S NA QUAN, 239.22 ,
04032073,AB; ENTEROVIRUS, 38.96 ,
04032075,IMMUNOASSAY QUANT NOS NONAB, 182.26 ,
04032076,SENSITIVITY MACRO BROTH EA AGN, 36.36 ,
04032078,AMPLIF NA PROBE NOS AGENT, 313.58 ,
04032080,HEPATITIS C NA QUAN, 153.41 ,
04032082,MACROSCOPIC EXAM PARASITE, 28.64 ,
04032083,IA INFECTIOUS AGENT AB QUAN, 100.49 ,
04032084,AB; LYMPHOGRANULOMA VENEREUM, 25.97 ,
04032085,UNLISTED CHEM 15 TRY TEST, 322.82 ,
04032086,"CYSTICERCUS AB, ELISA, CSF", 38.96 ,
04032087,"EBV DNA QUANTITATIVE, PCR", 382.75 ,
04032092,"AB, VARICELLA-ZOSTER (ENCEPH)", 57.58 ,
04032094,"MUMPS VIRUS RNA, PCR", 313.58 ,
04032095,"ANTIBODY,  MYCOPLASMA", 88.75 ,
04032096,"NMA, IGG AB, ELISA", 97.67 ,
04032099,MICROSOMAL AB EACH, 162.51 ,
04032113,TB TEST CELL IMMUN MEASURE, 415.40 ,
04032115,CANDIDA ALBICANS TEST KIT, 133.33 ,
04032119,WEST NILE VIRUS AB IGM, 25.78 ,
04032123,CULTURE URIN W ISOL & PRESUMP, 30.58 ,
04032124,HEMOGLOBIN A1C POC, 29.98 ,
04032125,HPV GENOTYPES 16 &18 ONLY, 108.40 ,
05820004,OT EVALUATION, 417.96 ,
05820006,OT RE-EVALUATION, 141.24 ,
05820011,SELF CARE/HOME MGMT TRAI EA 15, 174.57 ,
05820012,TRANSFER TECHNIQUES, 90.48 ,
05820014,THERAP ACTIVITIES EA 15 MIN, 175.49 ,
05820015,FUNCTIONAL TRAINING, 152.08 ,
05820017,SELF CARE MNGMNT TRNNG EA 15 M, 90.48 ,
05820018,NEURO RE-ED EA 15 MIN, 147.36 ,
05820030,SHORT LEG SPLINT APPL, 427.32 ,
05820031,SHORT ARM SPLINT STATIC, 253.40 ,
05820032,SHORT ARM SPLINT, 136.44 ,
05820033,LONG ARM SPLINT, 131.64 ,
05820034,SPLINTS HANDS, 159.73 ,
05820036,FINGER SPLINTS;STATIC, 183.14 ,
05820037,SPLINTS ANTI-SPASTICITY, 195.81 ,
05820050,ADAPTIVE EQUIPMENT TRAINING, 96.81 ,
05820065,PRESSURE GARMENTS, 82.86 ,
05820070,BED MOBILITY, 96.81 ,
05820072,NEURO, 133.66 ,
05820074,WHEELCHAIR TRAINING EA 15 MIN, 85.87 ,
05820078,BODY MECHANICS, 66.79 ,
05820080,POSITIONING, 143.02 ,
05820082,THER EXCERCISES/STRENGH EA 15, 197.35 ,
05820084,MASSAGE EA 15 MIN, 93.98 ,
05820086,SCAR MANAGEMENT, 82.86 ,
05820088,JOINT PROTECTION, 96.81 ,
05820094,COMMUNITY WORK REINTEG EA 15 M, 164.84 ,
05820096,COGNITIVE -MOTOR PROGRAM, 166.79 ,
05820098,SENSORY INTEGRATION, 201.36 ,
05820100,NEUROMUSCULAR DEVELOPMENT, 143.02 ,
05820106,FLUIDOTHERAPY, 162.51 ,
05820108,PARAFFIN BATH APPLICATION, 170.63 ,
05820110,HOT AND COLD PACKS, 132.62 ,
05820114,ASSISTIVE TECHNOLOGY ASSESSMEN, 53.94 ,
05820115,PHYSICAL PERF TEST EA 15 MIN, 132.94 ,
05820121,CHECKOUT ORTHOTIC USE EA 15 MI, 166.71 ,
05820122,CLUB FOOT CASTING, 306.76 ,
05820127,HOT OR COLD PACKS APPLICATION, 139.25 ,
05820128,PARAFFIN, 179.17 ,
05820129,WHIRLPOOL, 179.17 ,
05820130,CONTRAST BATHS EA 15 MIN, 174.14 ,
05820131,UNLISTED MODALITY, 78.17 ,
05820132,UNLISTED THERAPUTIC PROC, 77.45 ,
05820133,KINETIC EXCERCISE (30 MN), 159.17 ,
05820134,COGNITIVE TRAINING 15 MIN, 141.39 ,
05820135,MANUAL THERAPY TECH EA 15 MIN, 196.37 ,
05820138,APPLICATION OF FINGER SPLINT, 328.23 ,
05820141,THERAPEUTIC PROCEDURE GROUP, 82.88 ,
05820142,ORTHOTICS FITTING/TRAINING EA, 106.67 ,
05820143,PROSTHETIC TRAINING EA 15 MIN, 47.28 ,
05820147,GROUP TREATMENT, 75.18 ,
05820148,INDVDL EXERCISE THERP EA 15MIN, 162.73 ,
05820150,ELECTRICAL STIM ATTENDED EA 15, 61.79 ,
05820151,VASOPNEUMATIC, 78.14 ,
05820152,IONTOPHORESIS EA 15 MIN, 50.15 ,
05820153,ULTRASOUND EA 15 MIN, 146.22 ,
05820154,SENSORY INTEGRATION 15 MINS, 221.99 ,
05820155,SLCTV WND DEBRIDEM 20 CM OR <, 398.03 ,
05820156,NON SELECTIVE DEBRIDEMENT, 241.96 ,
05820157,DIATHERMY EG MICROWAVE 1+ AREA, 14.01 ,
05820158,INFRARED THERAPY 1+ AREAS, 23.01 ,
05820159,ULTRAIOLET THERAPY 1+ AREAS, 28.67 ,
05820160,GAIT TRAINING THERAPHY EA15MIN, 108.51 ,
05820161,NON WND ELECT STIM, 52.36 ,
12240001,OT EVAL LOW COMPLEX 30MIN, 379.10 ,
12240002,OT EVAL MOD COMPLEX 45MIN, 379.10 ,
12240003,OT EVAL HIGH COMPLEX 60MIN, 379.10 ,
12240004,OT RE-EVAL ESTBLSHD PLAN CARE, 128.12 ,
22408985,OT CARRY GOAL STATUS 0%, 0.01 ,Service Counter
22408986,OT CARRY DC STATUS 0%, 0.01 ,Service Counter
22408988,OT SELF CARE GOAL STATUS 0%, 0.01 ,Service Counter
22418984,OT CARRY CURRENT STATUS 1-19%, 0.01 ,Service Counter
22418985,OT CARRY GOAL STATUS 1-19%, 0.01 ,Service Counter
22418986,OT CARRY DC STATUS 1-19%, 0.01 ,Service Counter
22418987,OT SELF CARE CURRENT STATU 1-1, 0.01 ,Service Counter
22418988,OT SELF CARE GOAL STATUS 1-19%, 0.01 ,Service Counter
22418989,OT SELF CARE DC STATUS 1-19%, 0.01 ,Service Counter
22428982,OT BODY POS GOAL STATUS 20-39%, 0.01 ,Service Counter
22428984,OT CARRY CURRENT STATUS 20-39%, 0.01 ,Service Counter
22428985,OT CARRY GOAL STATUS 20-39%, 0.01 ,Service Counter
22428986,OT CARRY DC STATUS 20-39%, 0.01 ,Service Counter
22428987,OT SELF CARE CURRENTSTATUS20-3, 0.01 ,Service Counter
22428988,OT SELF CARE GOAL STATUS 20-39, 0.01 ,Service Counter
22428989,OT SELF CARE DC STATUS 20-39%, 0.01 ,Service Counter
22438978,OT MOBILITY CURRENT STATUS40-5, 0.01 ,Service Counter
22438979,OT MOBILITY GOAL STATUS 40-59%, 0.01 ,Service Counter
22438980,OT MOBILITY DC STATUS 40-59%, 0.01 ,Service Counter
22438981,OT BODY POS CURRENT STATUS40-5, 0.01 ,Service Counter
22438984,OT CARRY CURRENT STATUS 40-59%, 0.01 ,Service Counter
22438985,OT CARRY GOAL STATUS 40-59%, 0.01 ,Service Counter
22438986,OT CARRY DC STATUS 40-59%, 0.01 ,Service Counter
22438987,OT SELF CARE CURRENTSTATUS40-5, 0.01 ,Service Counter
22438988,OT SELF CARE GOAL STATUS 40-59, 0.01 ,Service Counter
22438989,OT SELF CARE DC STATUS 40-59%, 0.01 ,Service Counter
22448981,OT BODY POS CURRENT STATUS60-7, 0.01 ,Service Counter
22448984,OT CARRY CURRENT STATUS 60-79%, 0.01 ,Service Counter
22448985,OT CARRY GOAL STATUS 60-79%, 0.01 ,Service Counter
22448986,OT CARRY DC STATUS 60-79%, 0.01 ,Service Counter
22448987,OT SELF CARE CURRENTSTATUS60-7, 0.01 ,Service Counter
22448988,OT SELF CARE GOAL STATUS 60-79, 0.01 ,Service Counter
22448989,OT SELF CARE DC STATUS 60-79%, 0.01 ,Service Counter
22458981,OT BODY POS CURRENTSTATUS80-99, 0.01 ,Service Counter
22458984,OT CARRY CURRENT STATUS 80-99%, 0.01 ,Service Counter
22458987,OT SELF CARECURRENTSTATUS80-99, 0.01 ,Service Counter
22458988,OT SELF CARE GOAL STATUS 80-99, 0.01 ,Service Counter
22458989,OT SELF CARE DC STATUS 80-99%, 0.01 ,Service Counter
22468987,OT SELF CARE CURRENT STATUS100, 0.01 ,Service Counter
04060026,GYN PAP SMEAR W/ PHYS REV, 107.46 ,
04060029,FINE NEEDLE ASPIRATION ADEQUAC, 111.87 ,
04060030,NON GYN FLUIDS, 191.78 ,
04060031,NON GYN FLUIDS WITH CONCENTRAT, 244.46 ,
04060033,ROUTINE PAP SMEAR, 124.70 ,
04060035,FINE NEEDLE ASPIRATE-INTERP&RE, 260.29 ,
04060036,THIN PREP GYN(SCREENING), 117.03 ,
04060039,CYTOPATHOLOGY SMEARS OTHR SOUR, 40.88 ,
04100001,"ABO GRP,RHO (D) TYPE", 115.29 ,
04100003,SINGLE PHENOTYPE, 181.76 ,
04100004,DIRECT COOMBS, 117.49 ,
04100005,INDIRECT COOMBS, 131.17 ,
04100006,"ANTIBODY IDENTIFICATION, RBC", 345.45 ,
04100007,ANTIBODY TITER, 89.86 ,
04100008,RH-ANTIBODY TITER, 117.59 ,
04100009,CRYOFIBRINOGEN, 10.91 ,
04100010,CROSS MATCH (500CC), 158.86 ,
04100012,AUTOLOGOUS DONOR PROSCSER, 273.25 ,
04100013,DIRECTED DONOR PROSCSNG, 698.28 ,
04100014,"FRESH FROZEN PLASMA,THAWING EA", 172.05 ,
04100016,RHO D IMMUNE GLOBULIN, 303.87 ,
04100021,SINGLE HLA TYPR (EG.:B27), 168.93 ,
04100024,PLATELET ANTIBODY SCREENING, 261.70 ,
04100026,"PLASMA,1 DONOR,FRESH FROZN/UNI", 284.36 ,
04100031,"LEUKOCYTE POOR BLOOD, EA UNIT"," 1,243.38 ",
04100034,RBC AB ELUTION EA, 133.40 ,
04100042,"RED BLOOD CELLS,EA UNIT", 552.99 ,
04100043,"PLATELET CONCENTRATE,EA UNIT", 266.09 ,
04100047,"CRY OPRECIPITATE, EACH UNIT", 164.12 ,
04100048,FACTOR .IX COMPLEX PER IU, 21.79 ,
04100051,COLD AGGLUTININS TITER, 185.20 ,
04100052,CRYOGLOBULIN, 60.32 ,
04100053,DIR COOMBS WITH ANTI -C3, 117.49 ,
04100054,DO NATH LANDSTEINER, 91.43 ,
04100069,FACTOR VIII(HUMAN)PER IU, 26.54 ,
04100081,PHERESIS PLATES IRR LEUKO RED," 2,053.95 ",
04100101,CYTOMEGOLOVIRUS (CMV), 227.51 ,
04100102,IRRADIATION OF BLOOD PRODUCT E, 199.24 ,
04100105,FETAL BLEED SCREEN, 40.49 ,
04100110,DIRECT/INDIRECT COOMBS, 117.49 ,
04100116,FACTOR VIII (RECOMBINANT)/IU, 45.75 ,
04110117,TRANSFUSE CRYO EA UNIT, 358.34 ,
04110118,EMERGENCY O NEG UNITS," 1,950.18 ",
04110119,BLOOD TYPE ANTIGEN DONOR EA, 79.44 ,
04110124,IRRADIATED PLATELETS EA UNIT, 414.84 ,
04110146,HLA TYPE; A B C SGL AG, 115.32 ,
04110148,APHERESIS RBC," 4,550.88 ",
04110152,CROSSMATCH ELECTRONIC, 68.77 ,
04110154,FACTOR VIIA PER 1 MICROGRAM, 5.39 ,
04110160,ANTI-INHIBITOR PER IU, 5.34 ,
12290001,MRI TMJ," 2,918.17 ",
12290002,MRI ORBIT/FACE/NECK W/O CONTRA," 3,270.80 ",
12290003,MRI PITUITARY W/O CONTRAST," 3,717.54 ",
12290004,MRI PITUITARY WITH CONTRAST," 5,151.16 ",
12290005,MRI PITUITARY W/WO CONTRAST," 6,285.49 ",
12290006,MRI BRAIN W/O CONTRAST," 4,014.95 ",
12290007,MRI BRAIN WITH CONTRAST," 5,151.16 ",
12290008,MRI BRAIN W/WO CONTRAST," 6,828.85 ",
12290009,MRI SPECTROSCOPY," 3,984.09 ",
12290010,MRI CHEST W/O CONTRAST," 2,170.90 ",
12290016,MRI BREAST (RT)W OR WO CONTRAS," 1,743.50 ",
12290017,MRI BREAST (LT)W OR WO CONTRAS," 2,092.19 ",
12290019,MRI CERVICAL SPINE W/O CONTRAS," 4,396.83 ",
12290020,MRI CERVICAL SPINE W CONTRAST," 4,398.40 ",
12290021,MRI CERVICAL SPINE W/WO CONTRA," 6,228.35 ",
12290022,MRI THORACIC SPINE W/OCONTRAST," 4,481.55 ",
12290023,MRI THORACIC SPINE WITH CONTRA," 4,771.53 ",
12290024,MRI THORACIC SPINE W/WO CONTRA," 7,092.58 ",
12290025,MRI LUMBAR SPINE W/O CONTRAST," 4,330.69 ",
12290026,MRI LUMBER SPINE WITH CONTRAST," 4,413.88 ",
12290027,MRI LUMBER SPINE W/WO CONTRAST," 6,235.61 ",
12290028,MRI UP EXTRM RT W/WO CONTRAST," 3,345.53 ",
12290029,MRI UP EXTRM LT W/WO CONTRAST," 3,345.53 ",
12290030,MRI UP EXTRM JOINT RT W/O CONT," 3,249.24 ",
12290031,MRI UP EXTRM JOINT LT W/O CONT," 3,249.24 ",
12290032,MRI LOW EXTRM RT W/WO CONTRAST," 3,396.91 ",
12290033,MRI LWR EXTRM LT W/WO CONTRAS," 5,095.68 ",
12290034,MRI LOW EXTRM JOINT RT W/O CON," 2,918.37 ",
12290035,MRI LOW EXTRM JOINT LT W/O CON," 2,918.37 ",
12290036,MRI ABDOMEN W/O CONTRAST," 3,443.81 ",
12290037,MRI PELVIS W/O CONTRAST," 4,175.04 ",
12290039,MRI 3D W/IMAGE POST PROCESS," 2,021.08 ",
12290040,MRA HEAD W/O CONTRAST," 3,182.93 ",
12290041,MRA CHEST W/WO CONTRAST," 4,540.61 ",
12290043,MRA PELVIS W/WO CONTRAST," 3,936.80 ",
12290046,MRA ABDOMEN W/WO CONTRAST," 3,316.15 ",
12290050,MRI ORBIT/FACE/NECK W CONTRAST," 4,717.69 ",
12290051,MRI ORBIT/FACE/NECK W/WO CONTR," 5,755.23 ",
12290052,MRI CHEST WITH CONTRAST," 2,509.98 ",
12290053,MRI CHEST W/WO CONTRAST," 3,064.91 ",
12290054,MRI UPPER EXTREMITY RT W/O CON," 3,469.55 ",
12290056,MRI UPPER EXTREMITY LT W/OCONT," 3,469.55 ",
12290057,MRI UPR EXTREM RT W CONTR," 2,957.06 ",
12290058,MRI LOW EXTRM RT W/O CONTRAS," 4,153.67 ",
12290059,MRI LOW EXTRM RT W CONTRAST," 3,238.01 ",
12290060,MRI LOW EXTRM LT W/O CONTRAST," 4,153.67 ",
12290061,MRI LOW EXTRM LT W CONTRAST," 3,238.01 ",
12290062,MRI LOW EXTRM JOINT RT W CONTR," 3,848.63 ",
12290063,MRI LOW EXTRM JOINT RT W/WO," 4,372.92 ",
12290064,MRI LOW EXTRM JOINT LT W CONTR," 3,078.90 ",
12290065,MRI LOW EXTRM JOINT LT W/WO," 3,239.20 ",
12290066,MRI ABDOMEN WITH CONTRAST," 4,882.17 ",
12290067,MRI ABDOMEN W/WO CONTRAST," 6,021.92 ",
12290068,MRI PELVIS WITH CONTRAST," 4,816.37 ",
12290069,MRI PELVIS W/WO CONTRAST," 5,455.53 ",
12290070,MRI BIOPSY/NEEDLE PLACEMENT," 1,702.39 ",
12290071,MRA HEAD WITH CONTRAST," 3,736.58 ",
12290073,MRA NECK W/O CONTRAST," 2,852.45 ",
12290074,MRA NECK WITH CONTRAST," 4,769.75 ",
12290075,MRA NECK W/WO CONTRAST," 6,910.34 ",
12290084,MRCP WO CONTRAST," 3,443.81 ",
12290090,MRI LOW EXTRM BIL W/WO CONTRAS," 5,095.68 ",
12290099,MRI LOW EXTRM BIL W/O CONTRAST," 4,616.93 ",
12290100,MRI SINUSES W/O CONTRAST," 2,725.66 ",
12290102,MRI SINUSES W/WO CONTRAST," 5,755.23 ",
12290103,MRI IAC W/O CONTRAST," 4,014.95 ",
12290104,MRI IAC WITH CONTRAST," 5,151.16 ",
12290105,MRI IAC W/WO CONTRAST," 6,285.49 ",
12290110,ANKLE BILATERAL 2 VIEWS, 484.42 ,
12290118,MRI LOWER EXT W+WO CONT BIL," 8,098.03 ",
12290123,MRI LOWER EXT JOINT W+WO CONTR," 12,147.05 ",
12290125,MRI LOWER EXT JOINT WO CONT-BI," 9,119.90 ",
12290126,MRI BREAST W+WO CONT-BILATERAL," 4,721.30 ",
12290127,MRI BREAST W+WO CONTRAST-LEFT," 4,358.74 ",
12290128,MRI BREAST W+WO CONTR-RIGHT," 4,358.74 ",
12290130,MRI BREAST WITH CONTRAST-LEFT," 3,486.99 ",
12290132,MRI BREAST WO CONTR-BILATERAL," 3,777.04 ",
12290133,MRI BREAST WO CONTRAST-LEFT," 4,358.74 ",
12290134,MRI BREAST WO CONT-RIGHT," 4,358.74 ",
12290136,MRI UPPER EXT JOINT W/CONTR LE," 8,173.87 ",
12290137,MRI UPPER EXT JOINT W/CONT RI," 8,173.87 ",
12290139,MRI UPPER EXT JOINT LT W/WO," 3,239.20 ",
12290140,MRI UPPER EXT JOINT RT W/WO," 3,239.20 ",
12290160,"ARTHROGRAM WRIST, , INJ PROC", 566.22 ,
12290161,BX BREAST 1ST LESION MR IMAG B," 4,065.59 ",
12290162,BX BREAST 1ST LESION MR IMAG L," 2,710.40 ",
12290163,BX BREAST 1ST LESION MR IMAG R," 2,710.40 ",
12290165,BX BREAST ADD LESION MR IMAG L, 247.16 ,
12290166,BX BREAST ADD LESION MR IMAG R, 247.16 ,
04212882,RAD TX DELIVERY >1 MEV SMPL, 358.26 ,
04212883,RAD TX DELIVERY >1 MEV INTRM, 358.29 ,
04212884,RAD TX DELIVERY >1 MEV COMPLEX, 691.47 ,
04212885,IMRT TX DELIVERY SMPL," 1,816.80 ",
04212886,IMRT TX DELIVERY COMPLEX," 1,816.83 ",
04212887,GUIDANCE RADIATION DELIVERY, 456.46 ,
04212888,TELETHX ISODOSE PLAN SMPL, 404.92 ,
04212889,TELETHX ISODOSE PLAN CPLX, 404.95 ,
